,adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
0,False,/qO55CD8tgVL1T4WKn6zYFFiD6lL.jpg,"[28, 18, 80]",1439930,The Punisher: One Last Kill,en,The Punisher: One Last Kill,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",631.4432,/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,2026-05-12,False,False,8.488,970
1,False,/2I1OFQJ0L9T0dpU6FobKFWV2PxX.jpg,"[878, 12]",687163,Project Hail Mary,en,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",417.1089,/yihdXomYb5kTeSivtFndMy5iDmf.jpg,2026-03-15,False,False,8.6,3690
2,False,/9Z2uDYXqJrlmePznQQJhL6d92Rq.jpg,"[10751, 35, 12, 14, 16]",1226863,The Super Mario Galaxy Movie,en,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",332.9093,/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,2026-04-01,False,False,7.195,1109
3,False,/zMwhWailP1WY7sb6AoE6b8ugoy.jpg,"[16, 10751, 12, 14]",1007757,Swapped,en,Swapped,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",325.0364,/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,2026-05-01,False,False,8.981,1207
4,False,/wMrV8SLne1jHLeYS0lLrA1Tf86P.jpg,"[27, 9648]",1304313,Lee Cronin's The Mummy,en,Lee Cronin's The Mummy,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",303.3424,/1q308iixueCU4pFtSYugNOevtNx.jpg,2026-04-15,False,False,7.703,497
5,False,/bVGHSe47W6oCQL1Q88pvRAet51A.jpg,"[18, 9648]",1330021,Remarkably Bright Creatures,en,Remarkably Bright Creatures,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.",113.3242,/9HcEqn3D4J6b2Z0jK54id9nA0fr.jpg,2026-05-07,False,False,8.527,337
6,False,/xBT0oNq6rsTFv4SxG5uGRIEOrq6.jpg,"[10402, 18]",936075,Michael,en,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",109.179,/tBtqTCimYm3DKck3t8A2mgJaKVK.jpg,2026-04-22,False,False,7.584,785
7,False,/tq3h43fZy0H80vzf47MAY7R9Mxo.jpg,"[16, 35, 10751]",1297842,GOAT,en,GOAT,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",109.0614,/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,2026-02-11,False,False,8.1,632
8,False,/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,"[28, 80, 18, 53]",1419406,The Shadow's Edge,zh,捕风追影,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,106.5264,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,2025-08-16,False,False,7.348,656
9,False,/a8uQvrplTkhGJQog6GZ6CqF8An6.jpg,"[35, 10751, 9648]",1301421,The Sheep Detectives,en,The Sheep Detectives,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",103.335,/6QtL9rl3Zb4d8qW6EJ4qO5hSSfU.jpg,2026-04-30,False,False,7.7,79
10,False,/wz1eLrNxK77xAY7JYi4iYrtiMEd.jpg,"[99, 10402]",78192,Michael Jackson: The Life of an Icon,en,Michael Jackson: The Life of an Icon,"See Michael Jackson, one of the most recognizable and popular entertainers of all time, like never before in the feature-length tribute Michael Jackson: The Life of an Icon. Known to millions of fans worldwide for his record-breaking albums, groundbreaking music videos, mesmerizing dance moves and humanitarian efforts, his true story has never really been told...until now. This unprecedented look into the King of Pop's fascinating life includes all-new interviews with his mother Katherine Jackson as well as siblings Tito and Rebbie Jackson,  his nephew  Jaafar Jackson and niece Tahkyah brings plenty Jackson and Friends ends and music legends such as Smokey Robinson, Dionne Warwick and  his 3 children and many more.",63.9333,/tOCYV9JCXXFtb7YehKXJBMKI4aD.jpg,2011-11-02,False,False,8.129,171
11,False,/bV7eAcBrYb57PwjpQ2ODT6VyFPd.jpg,[99],318256,Hot Girls Wanted,en,Hot Girls Wanted,A first-ever look at the realities of the professional “amateur” porn world and the steady stream of 18-to-19-year old girls entering into it.,63.6739,/75ot83QOkc02vujyzmIbumQCU6Y.jpg,2015-01-24,False,False,6.101,723
12,False,/zTnAnYIn0Iv3cn0ZHlzLhou3ybm.jpg,"[9648, 53]",1368166,The Housemaid,en,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",62.6851,/cWsBscZzwu5brg9YjNkGewRUvJX.jpg,2025-12-18,False,False,7.25,2138
13,False,/fBh0OlTY5XSHuFrQ7ylXHniwg9s.jpg,"[27, 53, 35]",1198994,Send Help,en,Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",61.6674,/mjkS2iAgWj3ik1DTjvI15nHZ7yl.jpg,2026-01-22,False,False,7.036,1501
14,False,/y9anLJX0ozvldlM1wgGafFz28QR.jpg,"[28, 80, 53]",1242332,Normal,en,Normal,"Interim sheriff Ulysses, called to the snowbound town of Normal, MN, uncovers an international criminal conspiracy at the heart of the seemingly quaint whistle-stop when he comes to the aid of a bank-robbing couple caught up in a deadly mess.",61.0935,/j5cW7TM0onwp3fQiowXX5ZJLUHR.jpg,2026-04-16,False,False,6.8,47
15,False,/6yeVcxFR0j08vlv2OlL6zbewm4D.jpg,"[28, 878, 53]",1265609,War Machine,en,War Machine,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",47.7138,/ril8yx5SOmj0KjNlftsdfIp00fr.jpg,2026-02-12,False,False,7.317,1733
16,False,/mHm73HhpvGWfRkXNErcwc15Czrv.jpg,"[80, 18, 53]",1628367,Kartavya,hi,कर्त्तव्य,"With his family's safety at stake and menacing threats closing in, a police officer must decide how far he'll go to uphold his duty.",46.9297,/doTwMyAphlDL5Z8WqE3elWWvj8M.jpg,2026-05-15,False,False,6.714,7
17,False,/oBft4BZeoDQzTT9ZGijClr76qvK.jpg,"[28, 53]",1122573,In the Grey,en,In the Grey,"A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back—an impossible heist that erupts into a deadly game of strategy, deception and survival.",46.3406,/dQgIcW6Th08kMRf2HBoYWoFE6OD.jpg,2026-05-13,False,False,6.4,44
18,False,/pzt8pTRDtkNcaXLPaO92KEtCD4B.jpg,"[53, 27]",39924,Exposé,en,Exposé,A paranoid writer is unable to get started on his second novel. He hires a secretary and then his troubles really begin.,45.6368,/7bEV13lR9QrVTpx7RVYk3ea1hkR.jpg,1976-03-01,False,False,4.951,41
19,False,/5GfUh2UNYlvvHUBQWx5XiHvwx1E.jpg,[18],258216,Nymphomaniac: Vol. I,en,Nymphomaniac: Vol. I,"A man named Seligman finds a fainted wounded woman in an alley and he brings her home. She tells him that her name is Joe and that she is nymphomaniac. Joe tells her life and sexual experiences with hundreds of men since she was a young teenager while Seligman tells about his hobbies, such as fly fishing, reading about Fibonacci numbers or listening to organ music.",44.9296,/piikL8vRh3s1ysHGTIqaZpdjfNU.jpg,2013-12-25,False,False,6.849,3643
20,False,/dzWGnIAjUafpmY57F6vnm44FwWB.jpg,"[18, 10751]",1671548,Dear You,zh,给阿嬷的情书,"Grandma Ye Shurou from Chaoshan lived a simple life, enjoying her twilight years. Her grandson, Xiaowei, burdened by debt, secretly traveled to Thailand to find his rumored billionaire grandfather, Zheng Musheng. However, Xiaowei returned with shocking news: his grandfather was long gone, and the person with whom Grandma had exchanged love letters was a complete stranger. As Xiaowei investigated, a love affair hidden for half a century suddenly surfaced, striking Grandma's heart.",38.9007,/s0sC3hPPX4OobLNfdl2iSs2vtvI.jpg,2026-04-30,False,False,9.1,16
21,False,/gRoZG3Z0zJxgElmTsVHOl2dNYXe.jpg,"[28, 80, 53]",1582770,Dhurandhar: The Revenge,hi,धुरंधर: द रिवेंज,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",38.6637,/ov8vrRLZGoXHpYjSY9Vpv1tHJX7.jpg,2026-03-18,False,False,7.4,77
22,False,/tlm8UkiQsitc8rSuIAscQDCnP8d.jpg,"[28, 878]",603,The Matrix,en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",38.4648,/aOIuZAjPaRIE6CMzbazvcHuHXDc.jpg,1999-03-31,False,False,8.245,27852
