,name,rating,reviews,ctype,loc
0,TCS,3.3,(1.1L),IT Services & Consulting,Bengaluru +444 other locations
1,Accenture,3.7,(73.7k),IT Services & Consulting,Bengaluru +259 other locations
2,Wipro,3.6,(65.3k),IT Services & Consulting,Hyderabad +373 other locations
3,Cognizant,3.7,(61.6k),IT Services & Consulting,Hyderabad +232 other locations
4,Capgemini,3.6,(53.6k),IT Services & Consulting,Bengaluru +182 other locations
5,HDFC Bank,3.8,(52.6k),Banking,Mumbai +1853 other locations
6,Infosys,3.5,(49k),IT Services & Consulting,Bengaluru +246 other locations
7,HCLTech,3.4,(46.1k),IT Services & Consulting,Chennai +231 other locations
8,ICICI Bank,4.0,(46.1k),Banking,Mumbai +1445 other locations
9,Tech Mahindra,3.4,(43.4k),IT Services & Consulting,Hyderabad +322 other locations
10,Genpact,3.6,(42.5k),Analytics & KPO,Hyderabad +181 other locations
11,TP,3.9,(38.8k),BPO,Mumbai +256 other locations
12,Jio,4.4,(33.7k),Telecom,Mumbai +1957 other locations
13,Axis Bank,3.6,(33.4k),Banking,Mumbai +1520 other locations
14,Concentrix Corporation,3.6,(32.4k),BPO,Bengaluru +183 other locations
15,Amazon,3.9,(31.5k),Internet,Bengaluru +515 other locations
16,Reliance Retail,3.9,(27.4k),Retail,Mumbai +1161 other locations
17,iEnergizer,4.6,(27.2k),BPO,Noida +53 other locations
18,LTIMindtree,3.6,(26.5k),IT Services & Consulting,Bengaluru +145 other locations
19,IBM,3.9,(25.8k),IT Services & Consulting,Bengaluru +162 other locations
20,HDB Financial Services,3.9,(25.8k),NBFC,Mumbai +1093 other locations
21,Larsen & Toubro Limited,3.9,(24k),Engineering & Construction,Chennai +769 other locations
22,Deloitte,3.7,(23.2k),Management Consulting,Hyderabad +182 other locations
23,Kotak Mahindra Bank,3.6,(22.5k),Banking,Mumbai +691 other locations
24,Reliance Industries,4.0,(20.3k),Oil & Gas,Jamnagar +820 other locations
25,Vodafone Idea,3.9,(17.6k),Telecom,Pune +705 other locations
26,Bharti Airtel,3.8,(17.1k),Telecom,Gurugram +791 other locations
27,BYJU'S,3.2,(16.4k),EdTech,Bengaluru +321 other locations
28,WNS,3.3,(15.3k),IT Services & Consulting,Pune +66 other locations
29,IDFC FIRST Bank,3.9,(14.7k),Banking,Mumbai +731 other locations
30,Ernst & Young,3.4,(14.6k),Management Consulting,Bengaluru +134 other locations
31,IndusInd Bank,3.4,(14.3k),Banking,Mumbai +799 other locations
32,AU Small Finance Bank,3.8,(14.3k),Banking,Jaipur +803 other locations
33,Tata Motors,4.1,(14.2k),Automobile,Pune +506 other locations
34,Muthoot FinCorp,4.5,(13.2k),NBFC,Bengaluru +1121 other locations
35,Bajaj Finserv,4.0,(13.2k),NBFC,Pune +1197 other locations
36,Flipkart,3.9,(13k),Internet,Bengaluru +554 other locations
37,PwC,3.3,(12.7k),Management Consulting,Bengaluru +137 other locations
38,HDFC Life,3.8,(12.1k),Insurance,Mumbai +717 other locations
39,Mahindra & Mahindra,4.0,(12.1k),Automobile,Pune +565 other locations
40,Infosys BPM,3.5,(12.1k),BPO,Bengaluru +95 other locations
41,DXC Technology,3.6,(12k),IT Services & Consulting,Bengaluru +130 other locations
42,Bandhan Bank,3.7,(11.2k),Banking,Kolkata +1013 other locations
43,Digitide Solutions,3.5,(10.4k),IT Services & Consulting,Hyderabad +274 other locations
44,Mphasis,3.3,(10.3k),IT Services & Consulting,Bengaluru +64 other locations
45,Yes Bank,3.7,(10.2k),Banking,Mumbai +541 other locations
46,Tata Steel,4.0,(9.9k),Iron & Steel,Jamshedpur +226 other locations
47,Quess,3.8,(9.8k),Recruitment,Bengaluru +758 other locations
48,Asian Paints,4.0,(9.6k),Chemicals,Mumbai +556 other locations
49,Maruti Suzuki,4.1,(9.5k),Automobile,Gurugram +457 other locations
50,Startek,3.0,(9.5k),BPO,Bengaluru +104 other locations
51,UltraTech Cement,4.1,(9.5k),Building Material,Mumbai +539 other locations
52,Paytm,3.2,(9.4k),FinTech,Noida +425 other locations
53,Bajaj Finance,3.9,(9.2k),NBFC,Pune +999 other locations
54,Shriram Finance,3.9,(9.2k),NBFC,Chennai +1119 other locations
55,Sutherland Global Services,3.4,(9.1k),BPO,Chennai +82 other locations
56,Equitas Small Finance Bank,4.3,(8.9k),Banking,Chennai +486 other locations
57,Wells Fargo,3.6,(8.7k),Financial Services,Bengaluru +27 other locations
58,EXL Service,3.6,(8.6k),Analytics & KPO,Noida +61 other locations
59,Cipla,4.1,(8.6k),Pharma,Mumbai +294 other locations
60,Ericsson,3.9,(8.4k),Telecom,Noida +161 other locations
61,Samsung,3.9,(8.3k),Consumer Electronics & Appliances,Noida +581 other locations
62,Dr. Reddy's,4.0,(8.3k),Pharma,Hyderabad +215 other locations
63,Optum Global Solutions,4.0,(8k),IT Services & Consulting,Hyderabad +69 other locations
64,JSW Steel,3.9,(7.9k),Iron & Steel,Ballari +199 other locations
65,JPMorgan Chase & Co.,3.8,(7.9k),Financial Services,Bengaluru +56 other locations
66,Delhivery,3.8,(7.8k),Logistics,Gurugram +763 other locations
67,ICICI Prudential Life Insurance,3.9,(7.8k),Insurance,Mumbai +511 other locations
68,Hexaware Technologies,3.4,(7.7k),IT Services & Consulting,Chennai +70 other locations
69,Ujjivan Small Finance Bank,4.0,(7.7k),Banking,Bengaluru +544 other locations
70,Sun Pharmaceutical Industries,4.0,(7.6k),Pharma,Vadodara +264 other locations
71,Jana Small Finance Bank,3.7,(7.6k),Banking,Bengaluru +424 other locations
72,HGS,3.7,(7.6k),Emerging Technologies,Bengaluru +122 other locations
73,Zydus Lifesciences,4.0,(7.5k),Pharma,Ahmedabad +181 other locations
74,Amazon Development Centre India,3.8,(7.5k),Internet,Hyderabad +147 other locations
75,Ekart Logistics,3.9,(7.5k),Logistics,Bengaluru +740 other locations
76,Lupin,4.1,(7.4k),Pharma,Pune +204 other locations
77,KPMG India,3.4,(7.4k),Management Consulting,Bengaluru +112 other locations
78,L&T Construction,4.0,(7.3k),Engineering & Construction,Chennai +435 other locations
79,Axis Max Life Insurance,4.0,(7.2k),Insurance,New Delhi +509 other locations
80,Hindustan Unilever,4.2,(7.2k),FMCG,Mumbai +545 other locations
81,ITC,3.9,(7.2k),FMCG,Bengaluru +378 other locations
82,Megha Engineering & Infrastructures,3.9,(7k),Engineering & Construction,Hyderabad +408 other locations
83,Coforge,3.3,(7k),IT Services & Consulting,Noida +103 other locations
84,Tata Projects,4.2,(6.9k),Engineering & Construction,Mumbai +287 other locations
85,Bajaj Life Insurance,3.8,(6.7k),Insurance,Pune +618 other locations
86,Cholamandalam Investment & Finance,3.9,(6.7k),Financial Services,Chennai +868 other locations
87,L&T Technology Services,3.0,(6.6k),IT Services & Consulting,Bengaluru +95 other locations
88,FIS,3.8,(6.6k),FinTech,Pune +59 other locations
89,Oracle,3.3,(6.6k),Software Product,Bengaluru +56 other locations
90,Omega Healthcare,3.8,(6.5k),BPO,Chennai +70 other locations
91,JLL,4.1,(6.4k),Real Estate,Gurugram +87 other locations
92,Muthoot Finance,3.7,(6.4k),NBFC,Bengaluru +793 other locations
93,IIFL Finance,4.0,(6.4k),NBFC,Mumbai +813 other locations
94,eClerx,3.1,(6.3k),IT Services & Consulting,Pune +32 other locations
95,Indian Army,4.7,(6.3k),Defence & Aerospace,New Delhi +360 other locations
96,Piramal Finance,4.2,(6.2k),NBFC,Mumbai +433 other locations
97,DMart,3.9,(6.2k),Retail,Mumbai +255 other locations
98,Virtusa Consulting Services,3.7,(6.1k),IT Services & Consulting,Hyderabad +55 other locations
99,PolicyBazaar,3.8,(6.1k),Internet,Gurugram +156 other locations
100,HCL Group,3.5,(6.1k),IT Services & Consulting,Chennai +97 other locations
101,HSBC Group,3.8,(6.1k),Financial Services,Bengaluru +63 other locations
102,Indiamart Intermesh,3.5,(6k),Internet,Noida +169 other locations
103,SMFG India Credit,3.9,(6k),NBFC,Mumbai +607 other locations
104,Access Healthcare,3.7,(5.9k),BPO,Chennai +62 other locations
105,BigBasket,3.9,(5.9k),Internet,Bengaluru +143 other locations
106,Siemens,4.0,(5.8k),Industrial Automation,Bengaluru +156 other locations
107,ICICI Lombard General Insurance Company,3.5,(5.8k),Insurance,Mumbai +320 other locations
108,GlobalLogic,3.5,(5.8k),IT Services & Consulting,Hyderabad +62 other locations
109,Aurobindo Pharma,4.0,(5.8k),Pharma,Hyderabad +115 other locations
110,Firstsource Solutions,3.5,(5.8k),BPO,Bengaluru +73 other locations
111,Manappuram Finance,3.9,(5.8k),NBFC,Bengaluru +660 other locations
112,Tata Capital,3.9,(5.7k),NBFC,Mumbai +453 other locations
113,Shapoorji Pallonji Group,4.1,(5.7k),Engineering & Construction,Mumbai +189 other locations
114,UST,3.7,(5.7k),IT Services & Consulting,Bengaluru +52 other locations
115,Standard Chartered,3.6,(5.7k),Banking,Chennai +68 other locations
116,Udaan,3.9,(5.7k),Internet,Bengaluru +366 other locations
117,Apollo Hospitals,4.0,(5.7k),Healthcare,Chennai +226 other locations
118,Mahindra Finance,3.9,(5.7k),NBFC,Mumbai +739 other locations
119,Bosch Global Software Technologies,3.7,(5.7k),IT Services & Consulting,Bengaluru +47 other locations
120,Swiggy,3.7,(5.6k),Internet,Bengaluru +238 other locations
121,Ashok Leyland,4.0,(5.6k),Automobile,Chennai +265 other locations
122,Citicorp,3.6,(5.6k),Financial Services,Pune +68 other locations
123,CGI Inc,4.0,(5.4k),IT Services & Consulting,Bengaluru +43 other locations
124,Hero MotoCorp,4.1,(5.4k),Automobile,Gurugram +370 other locations
125,Cyient,3.6,(5.3k),IT Services & Consulting,Hyderabad +49 other locations
126,SBI Cards & Payment Services,3.6,(5.3k),Financial Services,Gurugram +448 other locations
127,BNY,3.6,(5.3k),Financial Services,Pune +27 other locations
128,NTT DATA,3.8,(5.3k),IT Services & Consulting,Bengaluru +81 other locations
129,Kalpataru Projects International,4.2,(5.3k),Engineering & Construction,Mumbai +328 other locations
130,IQVIA,3.7,(5.3k),Clinical Research,Bengaluru +67 other locations
131,Nagarjuna Construction Company,4.0,(5.3k),Engineering & Construction,Hyderabad +299 other locations
132,Schneider Electric,4.1,(5.2k),Industrial Automation,Bengaluru +121 other locations
133,JustDial,3.5,(5.2k),Internet,Noida +235 other locations
134,SBI Life Insurance Company,3.7,(5.2k),Insurance,Mumbai +658 other locations
135,CBRE,4.1,(5.2k),Real Estate,Hyderabad +92 other locations
136,TVS Motor,3.8,(5.1k),Automobile,Hosur +354 other locations
137,Persistent Systems,3.6,(5.1k),IT Services & Consulting,Pune +42 other locations
138,State Bank of India,3.8,(5k),Banking,Mumbai +627 other locations
139,Atos,3.8,(5k),IT Services & Consulting,Pune +49 other locations
140,KEC International,4.0,(5k),Engineering & Construction,Mumbai +317 other locations
141,ITC Infotech,3.8,(4.9k),IT Services & Consulting,Bengaluru +69 other locations
142,vivo,4.1,(4.9k),Consumer Electronics & Appliances,Noida +414 other locations
143,Amdocs,3.6,(4.9k),Software Product,Pune +24 other locations
144,JBM Group,3.9,(4.9k),Auto Components,Gurugram +119 other locations
